Pattern ID,Pattern / Signature Name,Signature Type,Category Tags,Cluster ID,Lay Summary,Clinical Teaching Note,Usefulness / Clinical Significance,Usefulness Rating,Requires Context?,Context Types (42-factor taxonomy),Diagnosis Context,Interpretive Adjustment (by Dx),Rule Definition (1-line),Detection Rule (Structured),Analysis Window,Validation Window,Post-Event Windows to Evaluate,Min Days of Data Required,Min Days Meeting Rule (Recurrence),Confidence Basis,Signature Confidence,Clinical Action Tier,Expected Action Tags,Section
12,Somogyi Effect (Rebound Morning High),Pharmacologic,micro; circadian; safety,Overnight Regulation,Overnight low triggers rebound morning high.,*Differentiate from dawn before changing basal.*,Prevents wrong insulin adjustments.,,None,Medication timing,T2DM (insulin users),—,Low <70 ≥15min then rise ≥100 before breakfast,input=CGM; window=clock[00:00–08:00]; metric=SEQUENCE_LOW_THEN_HIGH; cond=(LOW<70>=15min THEN rise>=100 within 2–4h); repeat=GEQ2D,7d,14d,Overnight→Morning,≥7,≥2,Sequence heuristic + clinical literature,Medium,Safety,Med; Timing; Education,2-Micro Hypoglycemia
13,Exercise‑Linked Hypoglycemia (0–24h),Physiologic,micro; exercise; safety,Activity‑Linked Lows,Lows during or after exercise (immediate or delayed).,*Plan carbs or dose reduction around exercise.*,Reduces activity-related risks.,,Logs,Activity; Timing,T2DM/General,—,Any <70 within 0–24h after logged exercise,input=LOGS+CGM; window=relative[0–24h]; metric=LOW_EVENT; cond=any <70; repeat=GEQ2 EVENTS,14d,30d,During & post‑exercise,≥7,≥2 events,Event-linked reproducibility,Medium,Safety,Education; Nutrition; Med,2-Micro Hypoglycemia
14,Dawn Phenomenon,Physiologic,micro; time-of-day,Overnight Regulation,Early morning rise (4–8 AM) without food.,*Consider basal timing; reduce late snacks.*,Explains fasting highs.,,None,Meals; Circadian,T2DM/General,—,≥60 min >180 mg/dL on recurring days,input=CGM; window=clock[04:00–08:00]; metric=TIME_>180; cond=>=60min; repeat=GEQ40PCT,7d,14d,[04:00–08:00],≥7,≥40% days,AGP median/time-above-range,High,Control,Nutrition; Timing; Med,3-Micro Hyperglycemia
15,Post‑Meal Sharp Spike,Physiologic,micro; post‑meal,Post‑Meal Response Shapes,Rapid rise and high peak within ~1h; returns by ~3h.,*Anchor to meals for clarity.*,"Informs meal planning, bolus timing, and medication response.",,Logs,Meal timing/composition,T2DM/General,—,Δ≥60 in 60min & peak >180 with return ≤180min,input=LOGS+CGM; window=rel[0–180]; metric=DELTA/PEAK/TTP; cond=(Δ>=60 & PEAK>180 & return<=180); repeat=GEQ40PCT meals,7d,14d,0–6h post‑meal,≥7,≥40% meals,Meal-anchored logic,High,Optimization,Nutrition; Timing; Med,3-Micro Hyperglycemia
16,Late‑Night Hyperglycemia (22:00–02:00),Physiologic,micro; time-of-day,Time‑of‑Day Hyperglycemia,Highs after late dinner/snacks.,*Check late eating/bolus timing.*,Improves fasting when addressed.,,None (better with logs),Meals; Circadian,T2DM/General,—,≥60 min >180 mg/dL on recurring days,input=CGM; window=clock[22:00–02:00]; metric=TIME_>180; cond=>=60min; repeat=GEQ40PCT,7d,14d,[22:00–02:00],≥7,≥40% days,AGP median/time-above-range,Medium,Control,Nutrition; Timing; Med,3-Micro Hyperglycemia
17,Mid‑Morning Hyperglycemia (09:00–11:00),Physiologic,micro; time-of-day,Time‑of‑Day Hyperglycemia,Rise after breakfast window.,*Review breakfast carbs/bolus timing.*,Targets morning routine.,,None (better with logs),Meals; Circadian,T2DM/General,—,≥60 min >180 mg/dL on recurring days,input=CGM; window=clock[09:00–11:00]; metric=TIME_>180; cond=>=60min; repeat=GEQ40PCT,7d,14d,[09:00–11:00],≥7,≥40% days,AGP median/time-above-range,Medium,Control,Nutrition; Timing; Med,3-Micro Hyperglycemia
18,Afternoon Hyperglycemia (13:00–16:00),Physiologic,micro; time-of-day,Time‑of‑Day Hyperglycemia,Rise post‑lunch window.,*Assess lunch composition and timing.*,Reduces post‑lunch spikes.,,None (better with logs),Meals; Circadian,T2DM/General,—,≥60 min >180 mg/dL on recurring days,input=CGM; window=clock[13:00–16:00]; metric=TIME_>180; cond=>=60min; repeat=GEQ40PCT,7d,14d,[13:00–16:00],≥7,≥40% days,AGP median/time-above-range,Medium,Control,Nutrition; Timing; Med,3-Micro Hyperglycemia
19,Evening Hyperglycemia (18:00–21:00),Physiologic,micro; time-of-day,Time‑of‑Day Hyperglycemia,Rise post‑dinner window.,*Check dinner size/insulin timing.*,Reduces evening highs.,,None (better with logs),Meals; Circadian,T2DM/General,—,≥60 min >180 mg/dL on recurring days,input=CGM; window=clock[18:00–21:00]; metric=TIME_>180; cond=>=60min; repeat=GEQ40PCT,7d,14d,[18:00–21:00],≥7,≥40% days,AGP median/time-above-range,Medium,Control,Nutrition; Timing; Med,3-Micro Hyperglycemia
20,High‑Fat Meal–Linked Delayed Rise,Physiologic,micro; post‑meal,Post‑Meal Response Shapes,Small early change but late sustained rise after high‑fat/protein meal.,*Anchor to meals for clarity.*,"Informs meal planning, bolus timing, and medication response.",,Logs,Meal timing/composition,T2DM/General,—,Δ0–60<20 & Δ90–180≥50 & median>140,"input=LOGS+CGM; window=rel[0–180]; metric=Δ_0_60, Δ_90_180, P50; cond=(<20, >=50, >140); repeat=GEQ40PCT HF meals",7d,14d,0–6h post‑meal,≥7,≥40% meals,Meal-anchored logic,Medium,Optimization,Nutrition; Timing; Med,3-Micro Hyperglycemia
21,Prolonged Plateau,Physiologic,micro; post‑meal,Post‑Meal Response Shapes,Sustained post‑meal elevation >3h.,*Anchor to meals for clarity.*,"Informs meal planning, bolus timing, and medication response.",,Logs,Meal timing/composition,T2DM/General,—,>180 mg/dL lasting >180min,input=LOGS+CGM; window=rel[0–360]; metric=TIME_>180; cond=>=180min; repeat=GEQ40PCT meals,7d,14d,0–6h post‑meal,≥7,≥40% meals,Meal-anchored logic,Medium,Control,Med; Nutrition,3-Micro Hyperglycemia
22,Dual Peak / Ripple,Physiologic,micro; post‑meal,Post‑Meal Response Shapes,Two peaks or oscillations after meal.,*Anchor to meals for clarity.*,"Informs meal planning, bolus timing, and medication response.",,Logs,Meal timing/composition,T2DM/General,—,≥2 peaks ≥45min apart or ≥3 oscillations amp≥15,input=LOGS+CGM; window=rel[0–360]; metric=OSC_COUNT; cond=>=2 peaks or >=3 osc; repeat=GEQ40PCT meals,7d,14d,0–6h post‑meal,≥7,≥40% meals,Meal-anchored logic,Medium,Lifestyle,Education; Nutrition,3-Micro Hyperglycemia
23,Minimal Response (Tight Control),Physiologic,micro; post‑meal,Post‑Meal Response Shapes,Small excursion and fast return.,*Anchor to meals for clarity.*,"Informs meal planning, bolus timing, and medication response.",,Logs,Meal timing/composition,T2DM/General,—,"peak ≤140, return ≤120 min",input=LOGS+CGM; window=rel[0–180]; metric=PEAK/TTP; cond=(PEAK<=140 & return<=120); repeat=GEQ40PCT meals,7d,14d,0–6h post‑meal,≥7,≥40% meals,Meal-anchored logic,Low,Lifestyle,Education,3-Micro Hyperglycemia
24,Weekday vs Weekend Instability,Behavioral,variability; lifestyle,Circadian/Behavioral,Stable weekdays but unstable weekends (or vice versa).,*Personalize weekend strategies.*,Targets specific days for intervention.,,None,Schedule; Behavior,T2DM/General,—,Weekend CV or TAR > weekday baseline + threshold,input=CGM; metric=CV/TAR; cond=weekend >= weekday + delta; repeat=GEQ2 weekends,14d,30d,Weekends,≥14,≥2 weekends,Comparative AGP,Medium,Lifestyle,Education; Behavior,4-Event-Based Variability & Outliers
25,Evening Variability Spike (18:00–22:00),Physiologic,variability; time-of-day,Variability,Higher variance and swings in evening block.,*Often linked to large dinners or stress.*,Focus stabilization where volatility is highest.,,None,—,T2DM/General,—,IQR>40 mg/dL OR CV>36% repeatedly,input=CGM; window=clock[18:00–22:00]; metric=IQR & CV; cond=IQR>40 or CV>36; repeat=GEQ40PCT,7d,14d,Evening,≥7,≥40% days,AGP percentile bands,Medium,Optimization,Nutrition; Education,4-Event-Based Variability & Outliers
26,Single-Day High Spike (>300 mg/dL),Physiologic,micro; variability; outlier,Event-Based Variability & Outliers,One-time extreme high glucose event (>300 mg/dL) not sustained over following days.,Confirm if recurrent; may reflect missed dose or heavy meal.,"Detects acute, clinically relevant spikes that may not affect averages but warrant review.",,None,Meal timing (optional),T2DM,Similar threshold for preDM/T2DM.,Isolated spike >300 lasting <2h.,max_glucose_day >300 AND duration_above_250 <120min,7d,14d,All-day,≥7,≥1,Threshold-based,Medium,Safety,Medication / Nutrition,4-Event-Based Variability & Outliers
27,Single-Day Low (<54 mg/dL),Physiologic,micro; variability; outlier,Event-Based Variability & Outliers,One-time episode of severe hypoglycemia without repetition.,Review for sulfonylurea or insulin overcorrection.,Important for identifying isolated dangerous lows even when TBR <1%.,,None,Medication use (optional),T2DM,Less likely in non-insulin users.,Any day with time_below_54 >15min.,time_below_54 >15min on 1 day in 14,14d,30d,All-day,≥14,≥1,ADA <54 threshold,High,Safety,Medication / Education,4-Event-Based Variability & Outliers
28,Unexplained Excursion (no meal/med context),Mixed,micro; variability; outlier,Event-Based Variability & Outliers,Short-term spike or dip with no obvious trigger in logs.,May indicate logging gap or data artifact.,Promotes review of missing contextual data.,,Logs,Missing meal/exercise,T2DM,Applies to all.,Excursion >80 mg/dL unexplained by logged events.,delta_glucose>80mg/dL in 30min and no log within ±60min,7d,14d,All-day,≥7,≥2,Context-linked,Low,Data Quality,Data / Education,4-Event-Based Variability & Outliers
29,Rapid Rise (>80 mg/dL / 15 min),Physiologic,micro; variability; outlier,Event-Based Variability & Outliers,Rapid glucose increase suggesting high GI food or stress surge.,Consider meal composition or emotional stress triggers.,Early identifier of reactive hyperglycemia.,,None,Optional: meal timing,T2DM,Same across Dx.,Rise >80 mg/dL in 15 min.,delta_glucose_15min >80,7d,14d,0–3h post-meal,≥7,≥3,AGP variability bands,Medium,Optimization,Nutrition / Behavior,4-Event-Based Variability & Outliers
30,Rapid Fall (>60 mg/dL / 15 min),Physiologic,micro; variability; outlier,Event-Based Variability & Outliers,Sharp glucose drop likely linked to insulin timing or activity.,Warns of hypoglycemia risk post insulin or exercise.,Highlights overcorrection or sensitivity patterns.,,None,Exercise timing,T2DM,More frequent in insulin users.,Fall >60 mg/dL in 15 min.,delta_glucose_15min < -60,7d,14d,0–3h post-meal or post-exercise,≥7,≥3,AGP variability bands,Medium,Safety,Medication / Exercise,4-Event-Based Variability & Outliers
31,Single Long High (>250 mg/dL >4h once),Physiologic,micro; variability; outlier,Event-Based Variability & Outliers,One-off prolonged hyperglycemia lasting >4h without repeat.,"Investigate skipped meds, illness, or stress day.",Detects rare sustained highs that may distort averages.,,None,"Optional: illness, med timing",T2DM,Same across Dx.,Any day with >4h above 250.,time_above_250 ≥240min on 1 day,14d,30d,All-day,≥14,≥1,Single-day threshold,Medium,Control,Medication / Education,4-Event-Based Variability & Outliers
32,Day-to-Day Instability (Single-day CV >36%),Statistical,micro; variability; outlier,Event-Based Variability & Outliers,Glucose highly unstable within one day but averages normalize over week.,Look for lifestyle or stress-related drivers.,Identifies erratic days that increase overall glycemic risk.,,None,"Stress, meal irregularity",T2DM,Similar across Dx.,Any day with CV >36% but 7d mean CV <36%.,daily_cv >36 AND mean_7d_cv <36,7d,14d,All-day,≥7,≥2,CV-based,Medium,Optimization,Education / Behavior,4-Event-Based Variability & Outliers
33,Implausible Rate‑of‑Change,Data Integrity,data-quality,Sensor/Device Data Quality,Physiology-violating ROC.,*Run data-quality checks before clinical rules.*,Removes artifacts to prevent false inferences.,,None,Device/Sensor,General,—,|Δ| >5 mg/dL/min for ≥10min.,input=CGM; metric=ROC; cond=|Δ|>5 for >=10; repeat=GEQ1D,7d,14d,Varies,≥1,Per rule,Empirical device behavior,High,Data / Quality,Data; Device; Education,4-Event-Based Variability & Outliers
34,Sensor Swap Step‑Change,Data Integrity,data-quality,Sensor/Device Data Quality,Abrupt shift at new sensor start.,*Run data-quality checks before clinical rules.*,Removes artifacts to prevent false inferences.,,None,Device/Sensor,General,—,Baseline shift ≥25 mg/dL at swap.,input=CGM; window=±2h swap; metric=LEVEL_STEP; cond=>=25; repeat=GEQ1 EVENT,7d,14d,Varies,≥1,Per rule,Empirical device behavior,High,Data / Quality,Data; Device; Education,4-Event-Based Variability & Outliers
35,Noisy Sensor Day (Exclude),Data Integrity,data-quality,Sensor/Device Data Quality,Whole day too noisy to trust.,*Run data-quality checks before clinical rules.*,Removes artifacts to prevent false inferences.,,None,Device/Sensor,General,—,Noise index >95th percentile.,input=CGM; metric=NOISE_IDX; cond=>95th pct; repeat=GEQ1D,7d,14d,Varies,≥1,Per rule,Empirical device behavior,High,Data / Quality,Data; Device; Education,4-Event-Based Variability & Outliers
36,Basal Insulin Excess (Overnight),Medication,medication-linked,Medication & Therapy Phase,Overnight lows with daytime OK.,*Confirm with EHR context before dose changes.*,Connects CGM shifts to therapy decisions.,,EHR,"Medications (class, dose/timing)",T2DM,—,Overnight lows + daytime TIR≥70%.,input=EHR+CGM; window=clock[00:00–06:00]; metric=TBR & daytime_TIR; cond=(LOW>=15min AND TIR>=70%); repeat=GEQ40PCT,7d,14d,Varies,≥7,Per rule,Drug-linked vs baseline,High,Safety,Med; Education,6-Medication & Therapy
37,Basal Insulin Insufficiency (Fasting High),Medication,medication-linked,Medication & Therapy Phase,Fasting high with stable daytime.,*Confirm with EHR context before dose changes.*,Connects CGM shifts to therapy decisions.,,EHR,"Medications (class, dose/timing)",T2DM,—,"Morning P50>140, daytime TIR≥70%.",input=EHR+CGM; window=clock[04:00–08:00]; metric=P50 & TIR; cond=(P50>140 & TIR>=70%); repeat=GEQ40PCT,7d,14d,Varies,≥7,Per rule,Drug-linked vs baseline,High,Control,Med,6-Medication & Therapy
38,Steroid Daytime Hyperglycemia,Medication,medication-linked,Medication & Therapy Phase,Midday–evening highs on steroid days; overnight stable.,*Confirm with EHR context before dose changes.*,Connects CGM shifts to therapy decisions.,,EHR,"Medications (class, dose/timing)",T2DM,—,Day mean↑≥15 vs baseline; overnight stable.,input=EHR+CGM; window=clock[08:00–22:00]; metric=MEAN_DAY & overnight_stable; cond=day_mean↑>=15; repeat=GEQ2D,7d,14d,Varies,≥7,Per rule,Drug-linked vs baseline,High,Control,Med,6-Medication & Therapy
39,Missed / Late Bolus (Post‑Meal),Medication,medication-linked,Medication & Therapy Phase,Large early spike without timely bolus.,*Confirm with EHR context before dose changes.*,Connects CGM shifts to therapy decisions.,,EHR,"Medications (class, dose/timing)",T2DM,—,Δ≥60 in 60min & peak>180; bolus late>20min or none.,input=EHR+LOGS+CGM; window=rel[0–180]; metric=DELTA/PEAK & bolus_timing; cond=combo; repeat=GEQ2 meals,7d,14d,Varies,≥7,Per rule,Drug-linked vs baseline,Medium,Optimization,Med; Education; Nutrition,6-Medication & Therapy
40,Insulin Stacking (Evening Corrections),Medication,medication-linked,Medication & Therapy Phase,Multiple corrections → later low.,*Confirm with EHR context before dose changes.*,Connects CGM shifts to therapy decisions.,,EHR,"Medications (class, dose/timing)",T2DM,—,≥2 corrections (18–23h) then low (00–03h).,input=EHR+CGM; window=clock[18:00–03:00]; metric=CORRECTION_COUNT_THEN_LOW; cond=>=2 then LOW; repeat=GEQ2D,7d,14d,Varies,≥7,Per rule,Drug-linked vs baseline,Medium,Safety,Education; Med,6-Medication & Therapy
41,Missed Basal Dose (Injection),Medication,medication-linked,Medication & Therapy Phase,Sudden overnight high after missed basal.,*Confirm with EHR context before dose changes.*,Connects CGM shifts to therapy decisions.,,EHR,"Medications (class, dose/timing)",T2DM,—,Fasting>160 with basal gap logged/inferred.,input=EHR+CGM; window=clock[04:00–08:00]; metric=FASTING & basal_log; cond=FASTING>160 & gap; repeat=GEQ1D,7d,14d,Varies,≥7,Per rule,Drug-linked vs baseline,Medium,Control,Med; Education,6-Medication & Therapy
42,GLP‑1 Initiation Flattened Curve,Medication,medication-linked,Medication & Therapy Phase,Reduced post‑meal peaks after start.,*Confirm with EHR context before dose changes.*,Connects CGM shifts to therapy decisions.,,EHR,"Medications (class, dose/timing)",T2DM,—,Post‑meal median Δ↓≥20 vs prior 7d.,input=EHR+CGM; window=rel[0–180]; metric=POSTMEAL_MEDIAN_DELTA; cond=↓>=20; repeat=GEQ1WEEK,7d,14d,Varies,≥7,Per rule,Drug-linked vs baseline,Medium,Optimization,Med,6-Medication & Therapy
43,GLP‑1 Titration Phase,Medication,medication-linked,Medication & Therapy Phase,Progressive flattening during escalation.,*Confirm with EHR context before dose changes.*,Connects CGM shifts to therapy decisions.,,EHR,"Medications (class, dose/timing)",T2DM,—,Downward slope in post‑meal median over 2–4w.,input=EHR+CGM; window=weeks[2–4]; metric=TREND_POSTMEAL; cond=neg_slope; repeat=GEQ1WEEK,7d,14d,Varies,≥7,Per rule,Drug-linked vs baseline,Medium,Optimization,Med,6-Medication & Therapy
44,SGLT‑2 Mean Shift Down,Medication,medication-linked,Medication & Therapy Phase,Lower mean and highs after initiation.,*Confirm with EHR context before dose changes.*,Connects CGM shifts to therapy decisions.,,EHR,"Medications (class, dose/timing)",T2DM,—,Mean↓≥10 & P75↓≥10 vs prior 14d.,input=EHR+CGM; window=clock[00:00–24:00]; metric=MEAN & P75; cond=both↓>=10; repeat=GEQ1WEEK,7d,14d,Varies,≥7,Per rule,Drug-linked vs baseline,Medium,Optimization,Med,6-Medication & Therapy
45,Sulfonylurea‑Linked Daytime Lows,Medication,medication-linked,Medication & Therapy Phase,Daytime lows without bolus insulin.,*Confirm with EHR context before dose changes.*,Connects CGM shifts to therapy decisions.,,EHR,"Medications (class, dose/timing)",T2DM,—,≥15min <70 during 06–22h with SU on board.,input=EHR+CGM; window=clock[06:00–22:00]; metric=TIME_<70 & SU_flag; cond=>=15min; repeat=GEQ2D,7d,14d,Varies,≥7,Per rule,Drug-linked vs baseline,Medium,Safety,Med; Education,6-Medication & Therapy
46,Insulin Resistance Pattern,Medication,medication-linked,Medication & Therapy Phase,Highs despite appropriate dosing.,*Confirm with EHR context before dose changes.*,Connects CGM shifts to therapy decisions.,,EHR,"Medications (class, dose/timing)",T2DM,—,TAR>30% & weak response to corrections.,input=EHR+CGM; window=clock[00:00–24:00]; metric=TAR & response; cond=combo; repeat=GEQ14D,7d,14d,Varies,≥7,Per rule,Drug-linked vs baseline,Low,Control,Med,6-Medication & Therapy
47,Post‑Illness Rebound Variability,Medication,medication-linked,Medication & Therapy Phase,Higher variability and mean during/after illness.,*Confirm with EHR context before dose changes.*,Connects CGM shifts to therapy decisions.,,EHR,"Medications (class, dose/timing)",T2DM,—,Mean↑≥10 or CV↑≥10pp over 3–7d vs baseline.,input=EHR+LOGS+CGM; window=days[3–7]; metric=MEAN & CV delta; cond=thresholds; repeat=GEQ1 episode,7d,14d,Varies,≥7,Per rule,Drug-linked vs baseline,Low,Control,Med; Education,6-Medication & Therapy
48,Shift‑Work Circadian Drift,Behavioral,lifestyle,Circadian/Behavioral,AM/PM pattern flips on work nights.,*Coach routines first; med changes last.*,Supports non‑pharmacologic strategies.,,Logs,Work,T2DM/General,—,AGP curves inverted vs baseline on shift days.,input=LOGS+CGM; window=shift_days; metric=CIRCADIAN_SHIFT; cond=pattern flip; repeat=GEQ2 weeks,14d,30d,Event window,≥7,≥2 episodes,Context‑linked empirical,Medium,Control,Education; Behavior,7-Lifestyle & Contextual
49,Weekend Grazing Ripple,Behavioral,lifestyle,Circadian/Behavioral,Multiple small peaks due to grazing.,*Coach routines first; med changes last.*,Supports non‑pharmacologic strategies.,,Logs,Meals,T2DM/General,—,≥3 oscillations amp≥15 without clear meals.,input=LOGS+CGM; window=weekends; metric=OSC_COUNT; cond=>=3; repeat=GEQ2 weekends,14d,30d,Event window,≥7,≥2 episodes,Context‑linked empirical,Medium,Lifestyle,Education,7-Lifestyle & Contextual
50,Sleep Deprivation Rise,Behavioral,lifestyle,Circadian/Behavioral,Higher glucose after short sleep.,*Coach routines first; med changes last.*,Supports non‑pharmacologic strategies.,,Logs,Sleep,T2DM/General,—,Mean↑≥10 vs personal baseline next day.,input=LOGS+CGM; window=next_day; metric=MEAN_DELTA; cond=↑>=10; repeat=GEQ2 nights,14d,30d,Event window,≥7,≥2 episodes,Context‑linked empirical,Low,Lifestyle,Education; Behavior,7-Lifestyle & Contextual
51,Stress‑Linked Hyperglycemia,Behavioral,lifestyle,Circadian/Behavioral,Transient rises with high stress.,*Coach routines first; med changes last.*,Supports non‑pharmacologic strategies.,,Logs,Stress,T2DM/General,—,Mean or P75↑≥10 during stress window.,input=LOGS+CGM; window=event; metric=MEAN/P75; cond=↑>=10; repeat=GEQ2 events,14d,30d,Event window,≥7,≥2 episodes,Context‑linked empirical,Low,Lifestyle,Education; Behavior,7-Lifestyle & Contextual
52,Alcohol Evening Dip,Behavioral,lifestyle,Circadian/Behavioral,Evening dip or overnight low after alcohol.,*Coach routines first; med changes last.*,Supports non‑pharmacologic strategies.,,Logs,Alcohol,T2DM/General,—,Low <70 within 6–12h of alcohol log.,input=LOGS+CGM; window=rel[6–12h]; metric=LOW; cond=any <70; repeat=GEQ2 events,14d,30d,Event window,≥7,≥2 episodes,Context‑linked empirical,Low,Safety,Education,7-Lifestyle & Contextual
53,Dehydration‑Linked Rise,Behavioral,lifestyle,Circadian/Behavioral,Higher glucose on low hydration days.,*Coach routines first; med changes last.*,Supports non‑pharmacologic strategies.,,Logs,Hydration,T2DM/General,—,Mean↑≥10 on days with low hydration tag.,input=LOGS+CGM; window=day; metric=MEAN; cond=↑>=10; repeat=GEQ2 days,14d,30d,Event window,≥7,≥2 episodes,Context‑linked empirical,Low,Lifestyle,Education,7-Lifestyle & Contextual
54,Menstrual Phase Sensitivity,Behavioral,lifestyle,Circadian/Behavioral,Pattern varies by cycle phase.,*Coach routines first; med changes last.*,Supports non‑pharmacologic strategies.,,Logs,Hormones,T2DM/General,—,Mean or variability shift by phase.,input=LOGS+CGM; window=phase; metric=MEAN/CV; cond=shift by phase; repeat=GEQ2 cycles,14d,30d,Event window,≥7,≥2 episodes,Context‑linked empirical,Low,Optimization,Education; Med,7-Lifestyle & Contextual
